content_id,display_order,unit,title,learning_objective,exercise_and_acceptance,status
course-v2-001,1,单元一：能开始，也能结束一盘棋（01–10）,第一手与围地目标,在交叉点交替落子，知道最终比较占有空间,棋盘定位＋两幅终局比较；K，能说明提子不是唯一目标,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-002,2,单元一：能开始，也能结束一盘棋（01–10）,棋块与气,沿整块棋数不同的气，不重复计数,中央、边、角和相连棋块圈气；K，整块共享气全标对,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-003,3,单元一：能开始，也能结束一盘棋（01–10）,打吃与提子,找最后一口气，提掉整块棋,提一子、提多子和非打吃对照；K，不把斜角空点当气,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-004,4,单元一：能开始，也能结束一盘棋（01–10）,逃、连、提三种救法,比较三种救棋候选着,改变外围使不同救法成立；K，救后重新数气,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-005,5,单元一：能开始，也能结束一盘棋（01–10）,连接与分断初识,区分横竖相连和斜向接触,补连接点、圈出分开的棋块；K，能指出需要分别照顾的两块,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-006,6,单元一：能开始，也能结束一盘棋（01–10）,禁入点与提子例外,先处理对方无气棋，再判断己方合法性,两个相似的被包围空点，一处可提、一处自杀；K，说明差别,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-007,7,单元一：能开始，也能结束一盘棋（01–10）,基本劫：为什么不能立即提回,识别局面重复，走出合法应对,对照劫和普通提子；K，拒绝立即回提，不把倒扑误作劫,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-008,8,单元一：能开始，也能结束一盘棋（01–10）,两眼、死棋与活棋的第一印象,用两眼理解一块棋能否被直接提取,完整连接的两眼与一眼对照；K，说明一眼为何还不够,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-009,9,单元一：能开始，也能结束一盘棋（01–10）,停一手、终局与计分,在已确认死活的简单终局比较面积,双方停手、标记死子、确认边界、数子加空；K，不混入提子数重复计分,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-010,10,单元一：能开始，也能结束一盘棋（01–10）,第一盘九路完整棋,经历落子、终局确认和回看,G＋引导对局至已确认终局；说出一手漏救或漏吃，未完盘可保存,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-011,11,单元二：连接、棋形与打吃方向（11–20）,断点在哪里,找到把两块棋分开的关键点,同图分别执黑、执白选点；K，说明断后哪块变弱,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-012,12,单元二：连接、棋形与打吃方向（11–20）,真断点与假断点,判断切入后能否存活或逃出,棋盘应手演示两种结果；K，读完切断后的反击,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-013,13,单元二：连接、棋形与打吃方向（11–20）,虎口与防断,识别虎形，知道何时还需补棋,虎口内点入、外围打吃反例；K，不认定所有虎口绝对安全,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-014,14,单元二：连接、棋形与打吃方向（11–20）,竹节与双重连接,用两个连接点判断相连可能性,切一个点后从另一点连接；K，检查外部打吃是否改变结果,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-015,15,单元二：连接、棋形与打吃方向（11–20）,长、尖、跳、飞,识别常用步法及连通风险,给定敌方位置比较四种选择；K，承认跳飞需要检查切断,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-016,16,单元二：连接、棋形与打吃方向（11–20）,向哪边打吃,选择能限制对方逃路的方向,同目标两种打吃，让白棋实际逃；K，比较结果后选择,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-017,17,单元二：连接、棋形与打吃方向（11–20）,向己方接应走,利用附近友军救棋,更换友军位置和白棋封锁点；K，不能只背向中央逃,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-018,18,单元二：连接、棋形与打吃方向（11–20）,双打吃,一手同时威胁两块棋,自动回应一侧，再吃另一侧；K，完成后续而非只点第一手,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-019,19,单元二：连接、棋形与打吃方向（11–20）,自紧气与愚形,发现己方着手减少关键气或造成重复,对照实接和无用填气；K，找出对手下一手打吃,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-020,20,单元二：连接、棋形与打吃方向（11–20）,连接与方向综合战,在真实局面选择救、连、断,G＋九路对局片段回看；独立解释一次连接或打吃方向,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-021,21,单元三：把吃子手筋读到底（21–30）,征子的连续打吃,顺着交替打吃读到边线,从中途接着下完整征子；K，确认最终捕获而非只走起手,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-022,22,单元三：把吃子手筋读到底（21–30）,征子有利还是不利,把远处棋子纳入判断,同局部配三种引征棋；K，给出相遇后的具体分支,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-023,23,单元三：把吃子手筋读到底（21–30）,枷：封住逃路,用封锁代替紧贴打吃,白棋尝试两条逃路，分别封住；K，应对所有题内逃法,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-024,24,单元三：把吃子手筋读到底（21–30）,门吃与抱吃,利用双方棋子封住出口,交换攻击方向后的变体；K，读出出口消失的次序,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-025,25,单元三：把吃子手筋读到底（21–30）,利用边线吃棋,把边界算作限制条件,同棋形搬到边与中腹比较；K，不把边上答案照搬中央,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-026,26,单元三：把吃子手筋读到底（21–30）,接不归,证明对方连接后仍会被吃,白接与白不接两个分支；K，两分支都读出结果,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-027,27,单元三：把吃子手筋读到底（21–30）,扑与缩气,识别合理弃一子能减少对方气,对手提子后继续落子；K，区分有效扑和白送子,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-028,28,单元三：把吃子手筋读到底（21–30）,倒扑与普通劫,先让提再整体提回，检查是否重复,双方连续落子回放；K，解释提回后盘面为何不同,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-029,29,单元三：把吃子手筋读到底（21–30）,滚打包收初识,利用连续打吃迫使对方低效连接,限定短变化逐步预判应手；K，每步指出强制回应理由,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-030,30,单元三：把吃子手筋读到底（21–30）,吃子手筋混合关,不靠题目名称认出手段,G，混入不能吃的局面；至少一题选择放弃无效追杀,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-031,31,单元四：做活、破眼与基本死活（31–40）,真眼与假眼,检查围眼棋是否可靠连接,边角与中腹对照；K，指出破坏眼的具体切断或打吃,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-032,32,单元四：做活、破眼与基本死活（31–40）,扩大眼位与收缩眼位,区分做活方、杀棋方的优先点,同局面切换执棋方；K，不能只记某一颜色的答案,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-033,33,单元四：做活、破眼与基本死活（31–40）,直三,找分成两眼的关键交点,攻守各一组短变化；K，两种手番都判断,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-034,34,单元四：做活、破眼与基本死活（31–40）,曲三,把直三的连通关系迁移到转弯形,改变朝向和外围；K，说明要点为何能分眼,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-035,35,单元四：做活、破眼与基本死活（31–40）,直四与曲四,区分几何不同的四点眼形,防守方应对入侵并完成两眼；K，在题设外围下读完,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-036,36,单元四：做活、破眼与基本死活（31–40）,方四,识别眼空间大却不能分眼的情况,与上课四点眼形并列；K，走出破眼变化,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-037,37,单元四：做活、破眼与基本死活（31–40）,刀把五初识,找典型五点眼形的攻守要点,先圈眼内邻接，再下要点；K，完成限定局面的证明,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-038,38,单元四：做活、破眼与基本死活（31–40）,双活,看到双方互相依赖的气,让任一方先动观察被提后果；K，区分双活和未完成对杀,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-039,39,单元四：做活、破眼与基本死活（31–40）,劫活初识,区分净活、净死、需打劫,三种结果对照，注明劫材未评估；K，不把劫活记成无条件活,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-040,40,单元四：做活、破眼与基本死活（31–40）,死活混合关,独立判断和验证生死,G，包含攻守交换和“此处无需补棋”；不要求复杂劫争求值,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-041,41,单元五：对杀与读棋（41–50）,谁在和谁对杀,指定双方目标棋块,混入附近无关强棋；K，准确圈出目标及逃路,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-042,42,单元五：对杀与读棋（41–50）,外气与公气,对不同气分类且不重复计数,圈黑外气、白外气和公共气；K，三类标注全正确,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-043,43,单元五：对杀与读棋（41–50）,简单无眼对杀,在限定条件下比较手数与先手,换手番、换一口气；K，读出谁先提掉目标,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-044,44,单元五：对杀与读棋（41–50）,外气与公气的次序,看出先收哪种气影响结果,在适用简图比较两条路线；K，不把口诀用于所有棋形,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-045,45,单元五：对杀与读棋（41–50）,长气与收气,计算一手既延长自己又压缩对方的效果,连出、扑、连接三种对照；K，逐手重数有效气,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-046,46,单元五：对杀与读棋（41–50）,有眼与无眼对杀,在给定条件下读懂眼的作用,加入外气、公气变化的反例；K，不仅回答“有眼赢”,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-047,47,单元五：对杀与读棋（41–50）,眼内空间与有效手数,知道眼内可提子会改变填满所需手数,按实着数步，不套单一公式；K，解释何时重新提取棋子,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-048,48,单元五：对杀与读棋（41–50）,不必对杀：逃出或连接,找到对杀以外的安全解法,给一条接应路线并比较追杀；K，识别更简单的脱险方法,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-049,49,单元五：对杀与读棋（41–50）,候选点与三步读棋,先列候选，再考虑对手最好回应,隐藏后续盘面先预测；K，至少排除一条失败变化,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-050,50,单元五：对杀与读棋（41–50）,对杀综合关,正确读棋并说出适用条件,G，混合数气、眼、逃跑和错误追杀；不靠口诀直接判分,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-051,51,单元六：从小棋盘到全盘方向（51–60）,角、边与中腹的效率,比较形成相同空间所需边界,摆墙实验＋有弱棋时的例外；K，知道效率原则服从安全,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-052,52,单元六：从小棋盘到全盘方向（51–60）,三线与四线,理解实地和向外发展倾向,同角棋形选发展方向；K，不把所有四线认成已围地,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-053,53,单元六：从小棋盘到全盘方向（51–60）,占角、守角、挂角,按作用识别三类着法,点击分类后说明针对哪颗棋；K，能提出一项目的,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-054,54,单元六：从小棋盘到全盘方向（51–60）,拆边与根据地,判断边上是否有安定空间,同一拆边长度配不同敌子；K，识别被挤压的形,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-055,55,单元六：从小棋盘到全盘方向（51–60）,分投与打入的区别,判断两边强弱和可用空间,开阔边与厚势前对照；K，选择进入方式并给退路,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-056,56,单元六：从小棋盘到全盘方向（51–60）,急场与大场,在大空间前先检查弱棋,两个看似相近全盘，加入打吃；K，解释优先级变化,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-057,57,单元六：从小棋盘到全盘方向（51–60）,厚势与实地,把向外力量和确定地盘分开看,标可靠地与潜力区；K，不把模样空点全计作得分,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-058,58,单元六：从小棋盘到全盘方向（51–60）,大棋盘上的距离,随棋盘扩大重新判断局部紧迫性,9、13、19路相似局面；K，说明远处大场为何开始重要,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-059,59,单元六：从小棋盘到全盘方向（51–60）,提子与全盘得失,比较追一子与安定大块,两条简短变化后的棋块安全和空间对照；K，能选择不追,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-060,60,单元六：从小棋盘到全盘方向（51–60）,十三路过渡与全盘复盘,完成开局、安定和一次全盘选择,G＋13路教学对局，可分次；根据地和最弱棋各标一处,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-061,61,单元七：理解定式的目的（61–70）,为什么学定式,说明双方局部交换所得,比较实地、厚势、先后手；K，不把“定式”当全盘最佳保证,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-062,62,单元七：理解定式的目的（61–70）,星位与小飞挂,看出守角、夹攻等选择的目的,给两种外围选择简单回应；K，解释为何照顾某一方向,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-063,63,单元七：理解定式的目的（61–70）,小目与守角,理解小目较偏向角部的布局作用,改变邻边棋子再选守角方向；K，不死记一个方向,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-064,64,单元七：理解定式的目的（61–70）,三三进角的基本交换,在短变化中分清角地和外势,双方跟摆后标获得物；K，能指出外势发挥的方向,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-065,65,单元七：理解定式的目的（61–70）,扳与连接的次序,识别短定式里的基本战术理由,对“先扳/先接”安排可验证反击；K，读出错序代价,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-066,66,单元七：理解定式的目的（61–70）,定式里的断点,检查切断是否受征子或外围影响,同局部配不同征子条件；K，选安全简明分支,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-067,67,单元七：理解定式的目的（61–70）,下完定式往哪里走,从局部结束转向全盘,比较安定、拆边和大场；K，说出离开局部前的检查,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-068,68,单元七：理解定式的目的（61–70）,对手不按定式下,回到气、连接和强弱来应对,用非标准但合法着法；K，不因为偏离棋谱就判对手错,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-069,69,单元七：理解定式的目的（61–70）,三连星、中国流与小林流观察,认识几种传统布局的子力分布,并列简图找共同目标；K，只认结构与方向，不背长变化,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-070,70,单元七：理解定式的目的（61–70）,定式应用关,为不同全盘选择不同局部方案,G，以解释和战术安全验收，不要求唯一的职业最佳着,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-071,71,单元八：攻击、整形与取舍（71–80）,先找最弱的一块,综合气、眼位、根据地和接应判断,同气数、不同出路的对照；K，不用气数单独评估全盘强弱,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-072,72,单元八：攻击、整形与取舍（71–80）,攻击为了获利,让攻击帮助围地、连接或安定,追杀与借攻获利短线比较；K，说明即使没吃到的收益,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-073,73,单元八：攻击、整形与取舍（71–80）,封锁与出头,争取通向开阔处的路线,攻守换色封与逃；K，演示为何某条路线被堵,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-074,74,单元八：攻击、整形与取舍（71–80）,接触战与整形,通过应手改善薄弱棋形,接触、扳、长的限定变化；K，改善后仍要检查断点,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-075,75,单元八：攻击、整形与取舍（71–80）,弃子与腾挪,识别可以放弃的小棋子,对比全救与弃小保大；K，指出必须保住的关键棋,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-076,76,单元八：攻击、整形与取舍（71–80）,打不打、提不提,判断打吃和提子会否帮对方走好形,相似局面对照，追踪对手应手；K，至少有一题保留不打,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-077,77,单元八：攻击、整形与取舍（71–80）,接不接、补不补,区分必要补棋和重复用力,补断急所与安全多补对照；K，说明脱先的具体风险,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-078,78,单元八：攻击、整形与取舍（71–80）,利用先手与保留变化,避免无目的交换帮对方定形,对比立即交换与暂缓；K，不把所有逼应都视为获利,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-079,79,单元八：攻击、整形与取舍（71–80）,打入、浅消与撤退,根据敌方力量选择风险适当的方案,给稳定厚势和薄弱模样两种局面；K，为自己的选择保留出路,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-080,80,单元八：攻击、整形与取舍（71–80）,攻防取舍综合关,把局部手筋服务于全盘目标,G＋一段对局回看，解释一次值得放弃的小收益,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-081,81,单元九：收官、计分与形势判断（81–90）,什么时候开始收官,识别大块未活、边界未定和已安定局部,阶段分类＋先救棋反例；K，不在大龙危险时盲收小官子,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-082,82,单元九：收官、计分与形势判断（81–90）,后手官子的出入,比较黑先和白先两种最终边界,两幅终局数差并写单位；K，不把出入值自动当每手收益,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-083,83,单元九：收官、计分与形势判断（81–90）,简单先手官子,用忽略后果判断对方是否需要应,让对方脱先再执行后续；K，必须证明题设中的逼应理由,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-084,84,单元九：收官、计分与形势判断（81–90）,逆收的第一印象,判断夺走对手先手机会的作用,同一局部比较双方先走；K，定性说明机会损失，复杂算值后置,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-085,85,单元九：收官、计分与形势判断（81–90）,边上一线扳粘,正确完成边界交换,加入断点与打吃条件；K，不漏掉连接需求,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-086,86,单元九：收官、计分与形势判断（81–90）,角部收官,读清角上小空间的提子与缩地,同形不同外围气；K，走完变化后重新确认生死,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-087,87,单元九：收官、计分与形势判断（81–90）,官子顺序,在条件相同的候选官子间排序,先比較简单独立后手，再加入已证明先手；K，说明排序前提,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-088,88,单元九：收官、计分与形势判断（81–90）,单官、死子与终局确认,分清未归属点、死活争议和确定地,标记、双方确认、必要时续下；K，不能让估算按钮替代死活确认,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-089,89,单元九：收官、计分与形势判断（81–90）,领先与落后的粗判断,区分可靠面积、潜力区和危险棋,给估计区间，不给伪精确胜率；K，说明最大的未知项,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-090,90,单元九：收官、计分与形势判断（81–90）,把一盘棋收完,从中后盘走到确认终局并计分,G＋完整终局操作；收官前后各记一次估计并解释变化,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-091,91,单元十：十九路实践与独立复盘（91–100）,十九路巡视全盘,依次查看四角、四边、弱棋和大场,给全盘标候选区域；K，避免只盯对手上一手,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-092,92,单元十：十九路实践与独立复盘（91–100）,落子前十秒,建立稳定的战术安全检查,限定片段找漏吃、漏救、自紧气；K，不以倒计时压力判能力,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-093,93,单元十：十九路实践与独立复盘（91–100）,三个候选点和对手回应,记录选择依据再读后续,先锁定自己的预测再播放；K，说明淘汰一条路线的证据,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-094,94,单元十：十九路实践与独立复盘（91–100）,认识棋谱与跟摆,读手数、手番、座子和结果,跟摆短片段并复原；K，不混淆历史贴目与当前练习规则,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
course-v2-095,95,单元十：十九路实践与独立复盘（91–100）,吴清源名局：观察事实,从历史片段识别四角与沿边发展,先遮住后手预测方向，再播放；K，区分事实、个人解释和未验证评价,基础讲解与知识判断、棋盘任务已接入；完整棋形验收待补齐
